id,url,name,type,openingHours,description,duration,price,address,region,avgRating,numReviews,numReviews_5,numReviews_4,numReviews_3,numReviews_2,numReviews_1
311103,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d311103-Reviews-War_Remnants_Museum-Ho_Chi_Minh_City.html,War Remnants Museum,Viện bảo tàng lịch sử,Mo-Su 07:30-17:30,"Bảo tàng Chứng tích Chiến tranh là đơn vị trực thuộc Sở Văn hóa, Thể thao và Du lịch Thành phố Hồ Chí Minh. Nằm trong hệ thống bảo tàng Việt Nam, bảo tàng hòa bình thế giới và là thành viên của Hội đồng Bảo tàng Thế giới (ICOM), Bảo tàng Chứng tích Chiến tranh, Bảo tàng chuyên đề nghiên cứu, sưu tầm, lưu giữ, bảo quản và trưng bày các tư liệu, ảnh, hiện vật về chứng tích tội ác và hậu quả chiến tranh mà lực lượng xâm lược đã gây ra cho Việt Nam. Bảo tàng lưu giữ hơn 20.000 tài liệu, hiện vật, phim ảnh, trong đó có hơn 1.500 tài liệu, hiện vật, phim ảnh đã được ứng dụng giới thiệu trong tám triển lãm chuyên đề thường xuyên. Trong 35 năm qua, Bảo tàng đã đón hơn 15 triệu lượt du khách trong và ngoài nước. Hiện nay với khoảng 500.000 lượt khách tham quan mỗi năm, Bảo tàng Chứng tích Chiến tranh là một trong những khu du lịch văn hóa duy nhất thu hút được uy tín cao của công chúng trong và ngoài nước.",1-2 giờ,,"28 Vo Van Tan Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 700000",Thành phố Hồ Chí Minh,4.4,33656,17384,11986,3435,566,285
2005826,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d2005826-Reviews-Cu_Chi_Tunnels-Ho_Chi_Minh_City.html,Cu Chi Tunnels,Điểm thu hút khách tham quan & thắng cảnh,Mo-Su 07:00-17:00,"Trong chuyến tham quan có hướng dẫn đến Địa đạo Củ Chi, bạn sẽ tìm hiểu về lịch sử của hệ thống ngầm này. Các đường hầm được quân đội Việt Cộng đào trong Chiến tranh Việt Nam như một cách để di chuyển mà không bị phát hiện và tiến hành các cuộc tấn công bất ngờ. Tận mắt trải nghiệm cảm giác siết chặt bằng cách bò qua các đường hầm và bắn súng trường tấn công ở trường bắn sau đó. Mang theo thuốc xịt côn trùng và mặc quần áo để phòng khi thời tiết nóng ẩm, hãy đến sớm hơn trong ngày để tránh đám đông và nắng chiều. Bạn không nên đến thăm các đường hầm sau trận mưa như trút nước vì khu vực này sẽ rất lầy lội.",2-3 giờ,,"Phú Hiệp , Thành phố Hồ Chí Minh",Thành phố Hồ Chí Minh,4.4,26270,14611,8604,2309,479,267
311087,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d311087-Reviews-Ben_Thanh_Market-Ho_Chi_Minh_City.html,Chợ Bến Thành,Chợ trời & chợ đường phố,Mo-Su 09:00-01:00,"Chợ trung tâm này là biểu tượng và linh hồn của Sài Gòn, với hơn 1.500 gian hàng buôn bán bán buôn và bán lẻ các mặt hàng từ thực phẩm, may mặc đến vải vóc và mỹ phẩm. Có bốn cổng chính và 12 lối vào—với lối vào chính nằm gần tháp đồng hồ lớn. Tại đây, bạn có thể tìm thấy những món quà lưu niệm thú vị như ví thêu, đồ sơn mài và khăn lụa. Nếu bạn là người yêu thích cà phê, người dân địa phương sẽ giới thiệu những thương hiệu cây nhà lá vườn như Trung Nguyên, Metrang, Wakeup và Mr. Viet Coffee. Khi đói, hãy tự thưởng cho mình một tô phở thơm ngon, sinh tố thanh long và tráng miệng là bánh Huế. – Tripadvisor",1-2 giờ,,"Lê Lợi, Phường Bến Thành, Quận 1 , Thành phố Hồ Chí Minh, 700000",Thành phố Hồ Chí Minh,3.4,13499,2476,4339,4240,1492,952
4542125,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d4542125-Reviews-A_O_Show_Lune_Production-Ho_Chi_Minh_City.html,À Ố Show - Lune Production,Rạp hát,Mo-Su 09:30-18:00,"À Ố Show là một trong những chương trình biểu diễn Xiếc Tre Việt Nam. À Ố - bắt nguồn từ Làng Phố, có nghĩa là 'làng và thành phố'. À Ố Show kể một câu chuyện hấp dẫn về quá trình chuyển đổi từ cuộc sống yên bình của vùng nông thôn sang cuộc sống đô thị nhịp độ nhanh của miền Nam Việt Nam hiện đại. Linh hồn của cuộc sống làng quê và, hoàn toàn trái ngược, những khung cảnh quen thuộc của thành phố, được tái hiện một cách tuyệt đẹp -- bằng tre! Sự đơn giản đến kinh ngạc của các đạo cụ bằng tre tạo nên một rạp xiếc đầy cảm hứng với các màn nhào lộn, vặn vẹo, tung hứng và biểu diễn nhào lộn. Xuyên suốt chương trình, âm nhạc truyền thống và hiện đại đều hòa quyện phong phú, được biểu diễn trực tiếp với 17 nhạc cụ. À Ố Show đã trở thành rạp xiếc nổi tiếng thế giới, được giới phê bình đánh giá cao tại 11 quốc gia.",1-2 giờ,,"7 Cong Truong Lam Son District 1, Thành phố Hồ Chí Minh, 700000",Thành phố Hồ Chí Minh,4.6,3042,2278,549,150,40,25
311089,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d311089-Reviews-Saigon_Central_Post_Office-Ho_Chi_Minh_City.html,Bưu điện trung tâm Sài Gòn,Tòa nhà kiến trúc • Tòa nhà chính phủ,"['Mo-Sa 07:30-18:00', 'Su 08:00-17:00']",Bưu điện này cũng có một trung tâm văn phòng hữu ích với điện thoại và đường dây fax.,Dưới 1 giờ,,"02 Công trường Công xã Paris , Thành phố Hồ Chí Minh, 70000",Thành phố Hồ Chí Minh,4.0,17418,5289,7538,3947,527,117
2037764,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d2037764-Reviews-Bitexco_Financial_Tower-Ho_Chi_Minh_City.html,Tháp Tài Chính Bitexco,Điểm thu hút khách tham quan & thắng cảnh • Đài & tháp quan sát,,"Tháp tài chính Bitexco với độ cao 262 mét là tòa nhà cao nhất Thành phố Hồ Chí Minh tính đến thời điểm hiện tại. Với ý tưởng thiết kế lấy từ hình dáng nụ sen, quốc hoa của Việt Nam, Tháp tài chính Bitexco không chỉ đơn thuần là một tòa nhà được bao bọc bằng kính và thép mà còn là biểu tượng của vẻ đẹp và sự phát triển nhanh chóng của nền kinh tế Thành phố Hồ Chí Minh, một vùng kinh tế trọng điểm của Việt Nam. Tháp tài chính Bitexco là ví dụ điển hình cho sự sáng tạo và thiết kế độc đáo. Một trong những điểm nổi bật của tòa tháp là điểm quan sát đầu tiên trong thành phố ở tầng 49. Sài Gòn Skydeck mở cửa đón tất cả du khách từ ngày 1/1/2011. Với đầy đủ các dịch vụ, tiện ích dành cho du khách, Skydeck đã chính thức mở cửa đón du khách trong nước và quốc tế từ tháng 7/2011. Du khách có cơ hội đến tham quan Sài Gòn Skydeck, không chỉ ngắm nhìn toàn cảnh Thành phố Hồ Chí Minh và sông Sài Gòn mà còn có cơ hội sử dụng các tiện ích, dịch vụ tại Skydeck này. Với nhiều hoạt động sẽ được tổ chức tại Skydeck trong năm nay cùng mức giá ưu đãi đặc biệt dành cho các nhóm khách hàng khác nhau, Skydeck sẽ là điểm đến hấp dẫn trong hành trình TP.HCM của du khách trong nước và quốc tế.",1-2 giờ,,"36 Hồ Tùng Mậu Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 700000",Thành phố Hồ Chí Minh,4.2,6335,2586,2457,1028,197,67
14051467,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d14051467-Reviews-Club_V_E_Gaming-Ho_Chi_Minh_City.html,Club V E-Gaming,Sòng bạc • Trung tâm trò chơi & giải trí,Mo-Su 00:00-23:59,"Club V là một trong những câu lạc bộ trò chơi điện tử nổi tiếng ở Thành phố Hồ Chí Minh và cung cấp các máy Slot, Roulette, Baccarat hiện đại nhất của sòng bạc. Các trò chơi điện tử của chúng tôi có giải Jackpot hấp dẫn nên bạn có thể thực sự cảm nhận được sự phấn khích khi chơi và cá cược. Hơn nữa, các dịch vụ độc quyền sẵn có của chúng tôi sẽ mang đến cho bạn khoảnh khắc khó quên trong bất kỳ lần ghé thăm nào.",2-3 giờ,,"148 Tran Hung Dao Cau Ong Lanh Ward, Thành phố Hồ Chí Minh, 700000",Thành phố Hồ Chí Minh,5.0,904,879,20,1,1,3
317890,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d317890-Reviews-The_Independence_Palace-Ho_Chi_Minh_City.html,Dinh Độc Lập,Địa điểm lịch sử • Tòa nhà kiến trúc,Mo-Su 08:00-16:00,"Trưng bày “Từ Dinh Norodom đến Dinh Độc Lập 1868-1966” nhằm làm sáng tỏ câu chuyện về một dinh thự tồn tại gần 100 năm, vốn là biểu tượng của chính quyền thực dân Pháp ở Nam Kỳ. Dinh thự đó được đổi tên thành Dinh Độc Lập năm 1954. Dinh Độc Lập là nơi chứng kiến sự hình thành và sụp đổ đầy kịch tính của chính quyền Việt Nam Cộng Hòa do Ngô Đình Diệm làm Tổng thống.",Dưới 1 giờ,,"106 Nguyen Du District 1, Thành phố Hồ Chí Minh, 700000",Thành phố Hồ Chí Minh,4.0,10462,3246,4343,2360,400,113
5505885,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d5505885-Reviews-Bui_Vien_Street-Ho_Chi_Minh_City.html,Đường Bùi Viện,Điểm thu hút khách tham quan & thắng cảnh,Mo-Su 00:00-23:59,"Hãy đến Phố Bùi Viện để có một đêm vui chơi hoang dã dọc theo một trong những con đường mang tính biểu tượng nhất của Thành phố Hồ Chí Minh. Còn được người dân địa phương gọi là “Khu Tây ba lô” hay “Phố Tây” vì sự nổi tiếng của nó đối với khách du lịch, con phố này có rất nhiều quán bar, nhà hàng, quán cà phê và quán ăn đường phố vẫy gọi với ánh đèn nhấp nháy, tiếng nhạc rộn ràng và hương thơm ẩm thực Việt Nam. Sẽ là bình minh trước khi bạn biết điều đó. Đăng ký chuyến tham quan ban đêm ở Hồ Chí Minh, thường bao gồm điểm dừng ở phố Bùi Viện và các điểm giải trí về đêm ở Sài Gòn. – Tripadvisor",2-3 giờ,,"Quận 1 , Thành phố Hồ Chí Minh, 700000",Thành phố Hồ Chí Minh,3.9,2639,877,1002,499,131,131
10005057,https://www.tripadvisor.com.vn/Attraction_Review-g293925-d10005057-Reviews-Ben_Nghe_Street_Food-Ho_Chi_Minh_City.html,Ben Nghe Street Food,Chợ trời & chợ đường phố,Mo-Su 09:00-23:55,"Chợ ẩm thực đường phố nằm trên đường Nam Kỳ Khởi Nghĩa, phường Bến Nghé, quận 1. Chợ có hơn 30 gian hàng sẽ được lắp đặt để thu hút khách du lịch. Chợ ẩm thực đường phố Bến Nghé ở TP.HCM được đánh giá là địa điểm không thể bỏ qua để tận hưởng trải nghiệm ẩm thực tuyệt vời với các đặc sản từ nhiều quốc gia cũng như các món ăn ngon từ ba miền của Việt Nam.",2-3 giờ,,"134, 136 Nam Kỳ Khởi Nghĩa , Thành phố Hồ Chí Minh, 700000",Thành phố Hồ Chí Minh,4.2,2391,1111,847,299,77,57
