id,name
1,Viện bảo tàng lịch sử
2,Điểm thu hút khách tham quan & thắng cảnh
3,Chợ trời & chợ đường phố
4,Rạp hát
5,Tòa nhà kiến trúc • Tòa nhà chính phủ
6,Điểm thu hút khách tham quan & thắng cảnh • Đài & tháp quan sát
7,Sòng bạc • Trung tâm trò chơi & giải trí
8,Địa điểm lịch sử • Tòa nhà kiến trúc
9,Trung tâm mua sắm
10,Nhà thờ & nhà thờ lớn
11,Viện bảo tàng chuyên ngành
12,Khu lân cận
13,Viện bảo tàng nghệ thuật
14,Công viên giải trí & công viên chủ đề • Công viên nước
15,Địa điểm tôn giáo
16,Sòng bạc
17,Cửa hàng bách hóa • Trung tâm mua sắm
18,Công viên
19,Phòng trưng bày nghệ thuật
20,Đài & tháp quan sát
21,Điểm thu hút khách tham quan & thắng cảnh • Tòa nhà kiến trúc
22,Khu vực tự nhiên & động vật hoang dã
23,Điểm thu hút khách tham quan & thắng cảnh • Đài kỷ niệm & tượng
24,Đài kỷ niệm & tượng
25,Điểm thu hút khách tham quan & thắng cảnh • Chiến trường
26,Cửa hàng bách hóa
27,Spa • Spa nước nóng
28,Cửa hàng đặc sản & cửa hàng quà tặng • Trung tâm mua sắm
29,Vùng nước • Điểm thu hút khách tham quan & thắng cảnh
30,Sở thú
31,Điểm thu hút khách tham quan & thắng cảnh • Địa điểm tôn giáo
32,Địa điểm tôn giáo • Đài kỷ niệm & tượng
33,Trung tâm hội nghị • Sân gôn
34,Địa điểm lịch sử
35,Trung tâm hội nghị
36,Cửa hàng đồ cổ
37,Chợ nông sản
38,Công viên giải trí & công viên chủ đề
39,Khu liên hợp thể thao
40,Cửa hàng đặc sản & cửa hàng quà tặng • Cửa hàng bách hóa
41,Trung tâm trò chơi & giải trí
42,Bến du thuyền • Vùng nước
43,Phòng trưng bày nghệ thuật • Viện bảo tàng nghệ thuật
44,Cầu
45,Quán bar & câu lạc bộ tạm thời
46,Chợ trời & chợ đường phố • Chợ nông sản
