id,name
1,"Thành phố Hồ Chí Minh, Việt Nam"
2,"Hà Nội, Việt Nam"
3,Việt Nam
4,"Cần Thơ, Việt Nam"
5,"Thành phố Hải Phòng, Việt Nam"
6,"Vinh, Việt Nam"
7,"Tỉnh Nam Định, Việt Nam"
8,"Hà Tĩnh, Việt Nam"
9,"Sydney, Úc"
10,"Gold Coast, Úc"
11,"Muscat, Oman"
12,"Glasgow, Vương quốc Anh"
13,"Magill, Úc"
14,"Phan Thiết, Việt Nam"
15,"American Fork, Utah"
16,"Tỉnh Đắk Lắk, Việt Nam"
17,"Nha Trang, Việt Nam"
18,"Hàng Châu, Trung Quốc"
19,"Newton Le Willows, Vương quốc Anh"
20,"Bangkok, Thái Lan"
21,"Huế, Việt Nam"
22,"Đà Lạt, Việt Nam"
23,"Little Canada, Minnesota"
24,"Ha Long City, Việt Nam"
25,"Tỉnh Tiền Giang, Việt Nam"
26,"Tỉnh Long An, Việt Nam"
27,"Buôn Ma Thuột, Việt Nam"
28,"Sapa, Việt Nam"
29,"Tỉnh Bình Thuận, Việt Nam"
30,"Quang Ninh, Việt Nam"
31,"Tỉnh Bình Dương, Việt Nam"
32,"Tỉnh Nghệ An, Việt Nam"
33,"Thanh Hóa, Việt Nam"
34,"Vũng Tàu, Việt Nam"
35,"Essex, Connecticut"
36,Thái Lan
37,"Tỉnh Thừa Thiên - Huế, Việt Nam"
38,"Đảo Phú Quốc, Việt Nam"
39,"Hội An, Việt Nam"
40,"Quy Nhơn, Việt Nam"
41,"London, Vương quốc Anh"
42,"Singapore, Singapore"
43,"Đông Hà, Việt Nam"
44,"Plymouth, Vương quốc Anh"
45,"Brisbane Region, Úc"
46,"Pulau Penang, Malaysia"
47,"Porto, Bồ Đào Nha"
48,"Oslo, Na Uy"
49,"Kealba, Úc"
50,"Memphis, Tennessee"
51,"Tucson, Arizona"
52,"Croydon, Úc"
53,"Leighton Buzzard, Vương quốc Anh"
54,California
55,"Victoria, Canada"
56,"Thành phố New York, New York"
57,"Bundaberg, Úc"
58,"Cardiff, Vương quốc Anh"
59,"Parkwood, Úc"
60,"Tannum Sands, Úc"
61,"Ramat Gan, Israel"
62,"Brisbane, Úc"
63,"Macomb, Michigan"
64,"Melbourne, Úc"
65,"Kongen, Đức"
66,"Hampshire, Vương quốc Anh"
67,"Dublin, Ohio"
68,Pháp
69,"Fort Myers, Florida"
70,"San Francisco, California"
71,"Greater Sydney, Úc"
72,"Daphne, Alabama"
73,"Ilkeston, Vương quốc Anh"
74,"San Jose del Cabo, Mexico"
75,"Los Angeles, California"
76,"Encounter Bay, Úc"
77,"Subang Jaya, Malaysia"
78,"Boston, Massachusetts"
79,"Washington DC, Quận Columbia"
80,"Sandakan Division, Malaysia"
81,"Sanaa, Yemen"
82,"Weston, Úc"
83,"Jerusalem, Israel"
84,"Wagga Wagga, Úc"
85,"Baldivis, Úc"
86,"Philippine, Hà Lan"
87,"Tỉnh Quảng Trị, Việt Nam"
88,"Đà Nẵng, Việt Nam"
89,"Gurgaon, Ấn Độ"
90,"Karmiel, Israel"
91,"Perth, Vương quốc Anh"
92,"Adelaide, Úc"
93,"Hồng Kông, Trung Quốc"
94,"Queensland, Úc"
95,"Manchester, Vương quốc Anh"
