ward_code,name,province_code,district_id
26881,Phường 12,79,18
26882,Phường An Hội Tây,79,18
26872,Phường 15,79,18
26878,Phường An Hội Đông,79,18
27460,Phường An Lạc,79,4
27463,Phường An Lạc A,79,4
27451,Phường Bình Trị Đông B,79,4
26887,Phường 5,79,18
26876,Phường An Nhơn,79,18
26992,Phường 10,79,6
26983,Phường Bảy Hiền,79,6
26971,Phường 12,79,6
27436,Phường Bình Hưng Hòa,79,4
27439,Phường Bình Hưng Hòa,79,4
27445,Phường Bình Trị Đông,79,4
27448,Phường Bình Trị Đông,79,4
27442,Phường Bình Hưng Hoà B,79,4
26884,Phường 10,79,18
26875,Phường 17,79,18
26890,Phường 1,79,18
26902,Phường 3,79,18
27271,Phường 8,79,17
27265,Phường Khánh Hội,79,17
27295,Phường 15,79,17
26898,Phường 8,79,18
26899,Phường 11,79,18
26974,Phường 13,79,6
27004,Phường Tân Bình,79,6
26995,Phường 6,79,6
26998,Phường 8,79,6
27001,Phường 9,79,6
27007,Phường 15,79,6
26977,Phường 1,79,6
26965,Phường 2,79,6
26980,Phường 3,79,6
26968,Phường 4,79,6
26989,Phường 5,79,6
26986,Phường 7,79,6
27457,Phường Tân Tạo A,79,4
27454,Phường Tân Tạo,79,4
27298,Phường 1,79,17
27286,Phường Vĩnh Hội,79,17
27292,Phường 2,79,17
27283,Phường 4,79,17
27259,Phường 13,79,17
27289,Phường 16,79,17
27277,Phường 18,79,17
27094,Phường An Khánh,79,12
27115,Phường An Lợi Đông,79,12
27088,Phường Thảo Điền,79,12
27118,Phường Thủ Thiêm,79,12
26779,Phường An Phú Đông,79,16
26767,Phường An Phú Đông,79,16
27334,Phường 5,79,8
27316,Phường An Đông,79,8
27304,Phường 9,79,8
27160,Phường 1,79,2
27154,Phường Bàn Cờ,79,2
27157,Phường 2,79,2
27151,Phường 5,79,2
27148,Phường 4,79,2
26923,Phường 5,79,14
26905,Phường Bình Lợi Trung,79,14
26908,Phường 11,79,14
27385,Phường 10,79,9
27364,Phường Bình Phú,79,9
26911,Phường 27,79,14
26962,Phường 28,79,14
26917,Phường 12,79,14
26929,Phường Bình Thạnh,79,14
26914,Phường 26,79,14
27220,Phường 3,79,11
27232,Phường Bình Thới,79,11
27229,Phường 8,79,11
27373,Phường 1,79,9
27382,Phường 7,79,9
27376,Phường 8,79,9
27097,Phường Bình Trưng Đông,79,12
27100,Phường Bình Trưng Tây,79,12
27091,Phường An Phú,79,12
27367,Phường 2,79,9
27352,Phường 9,79,9
27424,Phường 6,79,10
27433,Phường 7,79,10
26743,Phường Bến Thành,79,19
26749,Phường Phạm Ngũ Lão,79,19
26746,Phường Nguyễn Thái Bình,79,19
27397,Phường Rạch Ông,79,10
27418,Phường Chánh Hưng,79,10
27403,Phường Hưng Phú,79,10
27409,Phường 4,79,10
27328,Phường 11,79,8
27343,Phường Chợ Lớn,79,8
27310,Phường 12,79,8
27331,Phường 14,79,8
27325,Phường 1,79,8
27301,Phường Chợ Quán,79,8
27307,Phường 2,79,8
27109,Phường Cát Lái,79,12
27112,Phường Cát Lái,79,12
27058,Phường 1,79,5
27061,Phường 2,79,5
27052,Phường 7,79,5
27076,Phường 15,79,5
26758,Phường Nguyễn Cư Trinh,79,19
26761,Phường Cầu Kho,79,19
26755,Phường Cô Giang,79,19
26752,Phường Cầu Ông Lãnh,79,19
27202,Phường 6,79,3
27169,Phường Diên Hồng,79,3
27187,Phường 8,79,3
26944,Phường 1,79,14
26941,Phường 2,79,14
26926,Phường 7,79,14
26950,Phường 17,79,14
26812,Phường Hiệp Bình Chánh,79,12
26809,Phường Hiệp Bình,79,12
26821,Phường Linh Đông,79,12
27211,Phường 5,79,11
27214,Phường 14,79,11
27172,Phường 12,79,3
27163,Phường Hòa Hưng,79,3
27166,Phường 13,79,3
26800,Phường Linh Trung,79,12
26794,Phường Linh Xuân,79,12
26818,Phường Linh Tây,79,12
26830,Phường Long Bình,79,12
26833,Phường Long Bình,79,12
26857,Phường Long Phước,79,12
26854,Phường Trường Thạnh,79,12
26860,Phường Long Trường,79,12
26866,Phường Phú Hữu,79,12
27247,Phường 1,79,11
27238,Phường Minh Phụng,79,11
27253,Phường 16,79,11
27142,Phường 9,79,2
27133,Phường 11,79,2
27130,Phường 12,79,2
27127,Phường 14,79,2
27358,Phường 12,79,9
27349,Phường Phú Lâm,79,9
27346,Phường 14,79,9
27064,Phường 8,79,5
27073,Phường Phú Nhuận,79,5
27070,Phường 10,79,5
27085,Phường 13,79,5
27484,Phường Phú Thuận,79,22
27028,Phường Phú Thạnh,79,20
27037,Phường Hiệp Tân,79,20
27040,Phường Tân Thới Hòa,79,20
27226,Phường 11,79,11
27208,Phường 15,79,11
27025,Phường Phú Thọ Hòa,79,20
27022,Phường Phú Thọ Hòa,79,20
27415,Phường Xóm Củi,79,10
27427,Phường Phú Định,79,10
27421,Phường 14,79,10
27430,Phường 16,79,10
26863,Phường Phước Bình,79,12
26848,Phường Phước Long,79,12
26851,Phường Phước Long A,79,12
26740,Phường Bến Nghé,79,19
26797,Phường Bình Chiểu,79,12
26803,Phường Tam Bình,79,12
26806,Phường Tam Phú,79,12
26953,Phường 19,79,14
26956,Phường Thạnh Mỹ Tây,79,14
26920,Phường 25,79,14
26773,Phường Thới An,79,16
26764,Phường Thạnh Xuân,79,16
26824,Phường Bình Thọ,79,12
26815,Phường Linh Chiểu,79,12
26827,Phường Trường Thọ,79,12
26785,Phường Trung Mỹ Tây,79,16
26776,Phường Tân Chánh Hiệp,79,16
27490,Phường Tân Phong,79,22
27475,Phường Tân Hưng,79,22
27472,Phường Tân Kiểng,79,22
27481,Phường Tân Quy,79,22
27487,Phường Tân Phú,79,22
27493,Phường Phú Mỹ,79,22
27031,Phường Phú Trung,79,20
27034,Phường Hòa Thạnh,79,20
27010,Phường Tân Sơn Nhì,79,20
27019,Phường Tân Sơn Nhì,79,20
27016,Phường Sơn Kỳ,79,20
27478,Phường Bình Thuận,79,22
27466,Phường Tân Thuận Đông,79,22
27469,Phường Tân Thuận Tây,79,22
26770,Phường Hiệp Thành,79,16
26782,Phường Tân Thới Hiệp,79,16
26734,Phường Tân Định,79,19
26737,Phường Tân Định,79,19
27013,Phường Tây Thạnh,79,20
26839,Phường Hiệp Phú,79,12
26842,Phường Tăng Nhơn Phú,79,12
