poi_id,category_id
311103,1
2005826,2
311087,3
4542125,4
311089,5
2037764,6
14051467,7
317890,8
5505885,2
10005057,3
2475475,9
15292553,7
8290115,2
317896,10
454974,4
1489190,4
317893,2
4552853,9
1929610,11
10836601,12
455387,13
454975,1
1830324,9
2389145,14
2273335,15
26805055,16
311094,15
2273343,2
11622038,17
2414430,18
25169046,19
33677575,13
18314088,20
635380,3
33076194,16
7907864,21
1178970,14
454972,12
10085046,15
8090785,9
1784754,2
8851175,9
6403614,9
1910195,8
550709,9
1165087,22
6438587,23
19757799,9
4597843,2
25340691,19
9582552,24
7736325,25
21230453,6
12084531,3
2407915,15
8754863,26
19255200,27
33099376,9
2168911,11
33235970,27
21051684,28
1368412,1
9806454,29
34257950,16
2484797,3
14928513,3
317898,2
25090493,27
317904,30
6602281,31
9456964,32
11445105,33
550712,34
8295665,35
13957334,19
1724542,36
311100,1
8017932,37
1682089,38
8009199,39
27990845,40
27120263,41
17722137,9
550711,42
8630608,17
2385857,15
12820616,19
317889,15
26809160,43
8010180,39
311092,18
8181417,3
8300005,44
1370386,1
11885518,9
1752815,45
8595674,46
8310942,47
26680907,9
33269337,9
1370380,31
7927054,11
4580323,9
5970625,48
27415839,49
26103372,9
27936796,50
6902917,19
10024158,51
2550321,19
10801837,52
8396485,53
27471402,54
2357145,18
11443657,4
552637,15
12033619,38
8827357,3
8800458,18
7714795,15
25188298,48
8290309,18
7158706,23
32793701,38
7827635,15
17569133,9
8587831,15
11512931,3
8028360,9
23823253,18
11680691,43
14025887,48
33316308,55
7743972,9
25572460,56
20051280,57
1742604,30
7339849,48
25336113,58
2481547,19
11848774,16
3337501,4
10844542,18
8772716,59
27346810,60
311105,15
19820968,34
12125198,9
3731488,48
4559699,2
15685988,48
11121258,61
4826315,62
2283872,48
24107412,18
7171779,63
27714378,64
27705549,27
9806515,15
8856733,15
32796078,38
28006662,7
15511824,3
9974461,24
10068803,65
30525859,66
7346527,19
12435632,19
4795476,56
1557134,67
33067153,68
3677899,69
27525355,70
6975254,71
2336225,72
28126911,18
8263887,7
33334970,27
10000822,18
32983757,41
33350503,56
6864271,48
7333808,73
33272100,26
33357814,74
16657089,38
25551844,48
12719595,75
32706121,9
17739279,15
8556994,56
34462576,1
32983638,9
23300698,48
