poi_id,ward_code
311087,26743
14051467,26752
317890,26743
5505885,26743
10005057,26743
1489190,26743
455387,26743
2389145,26794
311094,26734
2273343,26749
25169046,27094
33677575,27094
8851175,26743
6403614,27010
19757799,26743
7736325,27511
12084531,26743
2407915,26743
33099376,26734
33235970,26752
2484797,26743
9456964,26830
1724542,26743
8017932,26734
27990845,27094
26809160,27094
1370386,27139
11885518,27460
26680907,27094
33269337,26743
27415839,26743
26103372,27013
2550321,26734
10801837,27094
27471402,26782
8827357,26752
25188298,26743
8290309,27589
32793701,27013
8028360,27013
23823253,27112
25572460,26734
25336113,27094
3337501,26743
4826315,27094
24107412,27094
7171779,26743
27714378,27013
27705549,27094
32796078,26830
3677899,27496
28126911,27094
10000822,27025
32983757,27094
33350503,26743
12719595,26743
32706121,27013
8556994,27094
34462576,26743
25574736,26743
20910619,26746
11746398,27094
33972276,26743
27747708,26734
2334935,26743
21493307,26743
8602875,26743
967468,26743
9467065,26749
14776389,26743
26322637,26743
6961416,26743
10068595,27094
8071230,27475
4170589,26830
8599407,26734
7273452,26743
15212886,26752
14116019,26743
28559328,26743
20295587,26734
8317497,26743
28108702,26743
12365770,26752
12374411,27094
25073674,26734
3763209,26743
16811556,26743
2414201,27094
27128455,26734
2559479,26752
27707365,26743
26145540,27094
11899009,26743
6982572,26734
4177826,27094
26791887,26743
5921457,26743
13984791,26749
11690404,27094
25030079,26752
12838076,26743
27525288,26743
7241907,26743
17118070,26752
28010412,26734
2726268,26752
6385014,26743
32786147,26734
7205645,26743
26773215,26743
13123395,27460
28466845,26749
15528737,26743
8856586,26746
23718217,27094
32908268,27094
23241279,26734
5038003,26734
2099329,26734
25053984,26743
1636752,26743
13340286,26743
4873291,26743
25093665,26743
14960488,27496
11437030,26743
17212823,26860
24977107,26743
10694795,27607
17838697,27094
2149556,27094
10767864,26743
11879452,27094
12212953,26743
12848297,26752
2004786,26743
28252124,27013
19163793,26743
26223282,27013
18830093,26830
8647034,26752
24131945,26749
8856664,26743
5539395,26860
15296299,27475
16872213,27013
2273094,26749
24010769,26737
11918882,26743
3617391,27094
34036748,26743
7194403,26743
15681266,26743
5461656,26860
34064312,26743
2487716,26734
24122789,27148
6429729,27109
2435196,26734
15522949,26743
14790505,26830
2435402,26743
12124708,27019
8765849,26752
13871488,27013
18207039,26830
26830472,26749
14025564,27013
27640676,26743
28110943,27013
28043812,27172
7065652,26734
12250546,26743
34495164,26743
33007917,26734
4237570,26743
12150062,26743
27105186,26734
12387550,26752
19331065,26743
8009540,26749
11435831,27475
33116956,27028
17427697,26743
5991449,26743
28044127,26743
26343200,27013
28029827,26752
8445328,27454
12878764,26734
34311620,26752
