old_ward_code,new_ward_code
27613,27595
27367,27367
27031,27031
27553,27553
27505,27526
27574,27568
26923,26905
27295,27265
26830,26833
27607,27610
27109,27112
27349,27349
26854,26857
27220,27232
27436,27439
27160,27154
27028,27028
27397,27418
27589,27592
26839,26842
27484,27484
26848,26848
27352,27367
26806,26803
27058,27058
27016,27019
27376,27373
27583,27577
27601,27601
27481,27475
27157,27154
27616,27595
27493,27487
26899,26898
26986,26968
27409,27418
27238,27238
26824,26824
27496,27496
26905,26905
27460,27460
27568,27568
27052,27058
27430,27427
26833,26833
26890,26890
26965,26977
26929,26929
27130,27142
27622,27619
26746,26743
26815,26824
27667,27667
26944,26944
27049,27043
27550,27544
27544,27544
27652,27658
26908,26905
27061,27058
26914,26929
26953,26956
26860,26860
27682,27673
27010,27019
27535,27553
27532,27496
27562,27559
26980,26977
27088,27094
27328,27343
27331,27343
27385,27364
26812,26809
27211,27211
27232,27232
27172,27163
26941,26944
26950,26944
26740,26740
27514,27511
27640,27628
27115,27094
27517,27541
27421,27427
26851,26848
27592,27592
27646,27655
27112,27112
26882,26882
26992,26983
27118,27094
27595,27595
27289,27259
27499,27508
27184,27190
26878,26878
26776,26785
27631,27628
27187,27169
27310,27343
27364,27364
26743,26743
27559,27559
27133,27142
27475,27475
26872,26878
27265,27265
27094,27094
27637,27637
26863,26848
27670,27667
27298,27286
27520,27511
27415,27427
27598,27604
26752,26758
27226,27226
27643,27655
27025,27022
27445,27448
27148,27154
27283,27286
27151,27154
26876,26876
27169,27169
26787,26791
27634,27637
27439,27439
26968,26968
26884,26884
26983,26983
27292,27286
27076,27058
27454,27457
27202,27169
27070,27073
26785,26785
27610,27610
27586,27592
26989,26968
27046,27043
27664,27664
27358,27349
27004,27004
26779,26767
26818,26800
27466,27478
27085,27073
26734,26737
26791,26791
27103,27094
26749,26743
27100,27097
26842,26842
27097,27097
26794,26800
27463,27460
26926,26944
26866,26860
26782,26782
26971,26983
26827,26824
27154,27154
27091,27097
27655,27655
27547,27541
27073,27073
26911,26911
27037,27028
27181,27190
27304,27316
27661,27658
26758,26758
26737,26737
27013,27013
26797,26803
27019,27019
27139,27139
26803,26803
26995,26995
26977,26977
27259,27259
27442,27442
27541,27541
27307,27301
27619,27619
27604,27604
27565,27568
26761,26758
27040,27028
27001,26995
27457,27457
27424,27424
27271,27265
27247,27238
27277,27259
26956,26956
26767,26767
27511,27511
27334,27316
27571,27577
27529,27496
26887,26876
27286,27286
26821,26809
26845,26842
26764,26773
26902,26890
27526,27526
26773,26773
27208,27226
27190,27190
26809,26809
26755,26758
27649,27655
26857,26857
27316,27316
27193,27190
27523,27544
26920,26956
27403,27418
26974,27004
27448,27448
27346,27349
27253,27238
27034,27031
27178,27190
27427,27427
27577,27577
27418,27418
27325,27301
27022,27022
27478,27478
27229,27232
27064,27073
27142,27142
27502,27508
26800,26800
27301,27301
27127,27142
27451,27460
27628,27628
27343,27343
27166,27163
27490,27475
27580,27559
27556,27553
26917,26929
27163,27163
27538,27526
27673,27673
27007,27007
27382,27373
27101,27094
27433,27424
27214,27211
26788,26791
26898,26898
27043,27043
27625,27637
27508,27508
27679,27664
27469,27478
27373,27373
27658,27658
26770,26782
27676,27676
26962,26911
27472,27475
27487,27487
26998,26995
26836,26842
26875,26884
26881,26882
